Trace file: tr-matmul.ref
Algorithm: fifo
Memsize, Hit Rate, Hit Count, Miss Count, Overall Eviction Count, Clean Eviction Count, Dirty Eviction Count
50,60.8711,1757854,1129978,1129928,1084574,45354
100,62.4747,1804164,1083668,1083568,1061237,22331
150,98.8085,2853424,34408,34258,32945,1313
200,98.8266,2853947,33885,33685,32434,1251


Algorithm: lru
Memsize, Hit Rate, Hit Count, Miss Count, Overall Eviction Count, Clean Eviction Count, Dirty Eviction Count
50,1.0592,30588,2857244,2857194,2150469,706725
100,25.2152,728174,2159658,2159558,1779319,380239
150,41.4680,1197527,1690305,1690155,1335253,354902
200,45.4460,1312403,1575429,1575229,1248179,327050


Algorithm: clock
Memsize, Hit Rate, Hit Count, Miss Count, Overall Eviction Count, Clean Eviction Count, Dirty Eviction Count
50,63.9439,1846593,1041239,1041189,1040080,1109
100,63.9517,1846818,1041014,1040914,1039835,1079
150,98.8503,2854631,33201,33051,31971,1080
200,98.8607,2854931,32901,32701,31621,1080


Algorithm: opt
Memsize, Hit Rate, Hit Count, Miss Count, Overall Eviction Count, Clean Eviction Count, Dirty Eviction Count
50,68.6792,1983339,904493,904443,592086,312357
100,93.6092,2703275,184557,184457,92131,92326
150,98.1897,2835554,52278,52128,25689,26439
200,98.6994,2850272,37560,37360,18264,19096


Algorithm: rand
Memsize, Hit Rate, Hit Count, Miss Count, Overall Eviction Count, Clean Eviction Count, Dirty Eviction Count
50,65.5196,1892096,995736,995686,955990,39696
100,88.7588,2563205,324627,324527,316970,7557
150,96.6702,2791673,96159,96009,93628,2381
200,98.0460,2831403,56429,56229,54585,1644


